city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,Source: https://simplemaps.com/data/us-cities
Baltimore,Baltimore,MD,Maryland,24510,Baltimore (city),39.3051,-76.6144,2170504,611648,2917,polygon,TRUE,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21223 21201 21224 21225 21226 21229 21203 21233 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298,1840001592,
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.064,-87.9669,1377808,595351,2390,polygon,TRUE,America/Chicago,53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293,1840003046,
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1053,-106.6464,758523,558545,1152,polygon,TRUE,America/Denver,87123 87121 87112 87113 87110 87111 87116 87114 87109 87108 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176,
Tucson,Tucson,AZ,Arizona,4019,Pima,32.1546,-110.8782,868391,535677,872,polygon,TRUE,America/Phoenix,85705 85707 85706 85710 85756 85723 85726 85724 85701 85708 85748 85745 85747 85716 85714 85715 85712 85713 85711 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775,1840022101,
Fresno,Fresno,CA,California,6019,Fresno,36.7834,-119.7941,698021,527438,1793,polygon,TRUE,America/Los_Angeles,93730 93650 93702 93703 93701 93706 93704 93705 93728 93720 93721 93722 93726 93727 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93737 93740 93744 93745 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844,1840020319,
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5667,-121.4683,1854698,501901,1984,polygon,TRUE,America/Los_Angeles,95820 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95821 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894,1840021491,
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1239,-94.5541,1615621,488943,599,polygon,TRUE,America/Chicago,64161 64163 64167 64165 64053 64119 64118 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64192 64114 64117 64116 64111 64110 64113 64112 64133 64130 64146 64145 64149 64147 64106 64139 64138 64132 64131 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7626,-84.4228,5228750,486290,1407,polygon,TRUE,America/New_York,30334 30331 30332 30309 30308 30305 30307 30303 30354 30327 30326 30324 30319 30316 30342 30306 30318 30317 30314 30315 30312 30313 30310 30311 30363 30301 30302 30304 30321 30325 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31136 31139 31141 31193 31195 31196,1840013660,
Miami,Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2102,6381966,463347,4971,polygon,TRUE,America/New_York,33129 33125 33126 33127 33128 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33222 33231 33233 33238 33255 33299,1840015149,
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach (city),36.7335,-76.0435,1480383,450435,710,polygon,TRUE,America/New_York,23459 23451 23453 23452 23455 23457 23456 23454 23460 23461 23462 23464 23450 23458 23463 23465 23466 23467 23471 23479,1840003871,
